message_id,customer_id,timestamp,channel,message_text,is_manipulative
MSG_00001,CUST100896,2025-10-05 23:47:07,email,Transaction declined. Update your information.,0
MSG_00002,CUST101171,2025-10-26 23:07:47,email,Unusual activity detected. Click here to secure your card.,0
MSG_00003,CUST100938,2025-10-28 19:21:11,call,"Dear customer, your monthly statement is ready.",0
MSG_00004,CUST100731,2025-10-22 05:10:22,chat,Your payment of ₹8685 was successful.,0
MSG_00005,CUST100174,2025-10-05 08:07:22,chat,Your SBI card will be blocked within 24 hours. Verify OTP now.,1
MSG_00006,CUST100428,2025-10-07 01:39:00,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00007,CUST101893,2025-10-14 05:38:02,sms,Payment received for order #4292. Thank you for shopping with us.,0
MSG_00008,CUST100002,2025-10-31 23:07:22,email,We noticed a login attempt. Please verify immediately.,0
MSG_00009,CUST100649,2025-10-08 14:24:31,call,Payment received for order #7906. Thank you for shopping with us.,0
MSG_00010,CUST101590,2025-10-16 10:45:54,sms,"Dear customer, your monthly statement is ready.",0
MSG_00011,CUST101516,2025-10-22 15:41:08,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00012,CUST101619,2025-11-01 06:37:56,call,"Dear customer, your monthly statement is ready.",0
MSG_00013,CUST101162,2025-10-08 23:30:19,sms,Your balance update: ₹6405 available.,0
MSG_00014,CUST101643,2025-11-03 00:53:34,chat,Your balance update: ₹8546 available.,0
MSG_00015,CUST100972,2025-11-03 12:09:38,call,Your OTP for transaction is valid for 10 minutes.,0
MSG_00016,CUST101238,2025-10-30 21:26:04,chat,Your OTP for transaction is valid for 10 minutes.,0
MSG_00017,CUST100979,2025-10-29 19:45:17,chat,Urgent: Confirm your KYC immediately to avoid suspension.,1
MSG_00018,CUST100143,2025-10-11 02:05:05,sms,Your SBI card will be blocked within 24 hours. Verify OTP now.,1
MSG_00019,CUST100058,2025-10-19 05:59:57,chat,Your OTP for transaction is valid for 10 minutes.,0
MSG_00020,CUST101043,2025-10-15 12:48:48,email,Your balance update: ₹3911 available.,0
MSG_00021,CUST100056,2025-10-11 10:46:48,call,Your balance update: ₹4453 available.,0
MSG_00022,CUST101956,2025-10-27 17:03:38,call,Transaction declined. Update your information.,0
MSG_00023,CUST101243,2025-10-10 07:45:49,chat,Your balance update: ₹1604 available.,0
MSG_00024,CUST100993,2025-11-03 03:58:25,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00025,CUST101856,2025-10-25 22:35:34,call,We noticed a login attempt. Please verify immediately.,0
MSG_00026,CUST100994,2025-10-17 07:49:25,sms,Payment received for order #9304. Thank you for shopping with us.,0
MSG_00027,CUST100409,2025-10-09 14:59:10,email,Unusual activity detected. Click here to secure your card.,0
MSG_00028,CUST101341,2025-10-13 21:42:25,call,"Dear customer, your monthly statement is ready.",0
MSG_00029,CUST100893,2025-10-23 11:07:24,email,"Dear customer, your account will be deactivated today unless you verify.",1
MSG_00030,CUST101938,2025-10-12 00:56:45,chat,"Dear customer, your monthly statement is ready.",0
MSG_00031,CUST101409,2025-10-27 10:12:55,sms,Your OTP for transaction is valid for 10 minutes.,0
MSG_00032,CUST101755,2025-10-13 07:22:03,call,Your balance update: ₹5313 available.,0
MSG_00033,CUST100800,2025-11-02 08:30:51,sms,Your OTP for transaction is valid for 10 minutes.,0
MSG_00034,CUST100719,2025-10-24 14:03:33,chat,Your payment of ₹4065 was successful.,0
MSG_00035,CUST101611,2025-10-11 05:03:06,chat,Your payment of ₹9327 was successful.,0
MSG_00036,CUST101764,2025-10-20 05:21:24,email,Your balance update: ₹6158 available.,0
MSG_00037,CUST101522,2025-10-26 01:29:52,call,Your balance update: ₹775 available.,0
MSG_00038,CUST101183,2025-10-15 05:27:19,chat,Your balance update: ₹4283 available.,0
MSG_00039,CUST101897,2025-10-18 20:01:15,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00040,CUST100979,2025-11-01 17:44:15,email,"Dear customer, your monthly statement is ready.",0
MSG_00041,CUST101010,2025-10-27 08:51:29,chat,Payment received for order #5132. Thank you for shopping with us.,0
MSG_00042,CUST101095,2025-10-25 07:17:43,sms,Your balance update: ₹1030 available.,0
MSG_00043,CUST100061,2025-10-22 07:47:04,call,Your balance update: ₹315 available.,0
MSG_00044,CUST101411,2025-10-20 15:02:50,sms,Your account will be locked soon. Confirm details.,0
